Freq.	V(clh)
1.71713087287552e+002	(-6.73391759487178e+001dB,1.19410575707662e+002°)
1.72309231942404e+002	(-6.73016138571742e+001dB,1.19494960082946e+002°)
1.72907446261574e+002	(-6.72640127659421e+001dB,1.19579489712757e+002°)
1.73507737430415e+002	(-6.72263725386327e+001dB,1.19664164071286e+002°)
1.74110112659226e+002	(-6.71886930390842e+001dB,1.19748982626405e+002°)
1.74714579183340e+002	(-6.71509741313700e+001dB,1.19833944839666e+002°)
1.75321144263208e+002	(-6.71132156798063e+001dB,1.19919050166291e+002°)
1.75929815184488e+002	(-6.70754175489610e+001dB,1.20004298055170e+002°)
1.76540599258132e+002	(-6.70375796036613e+001dB,1.20089687948855e+002°)
1.77153503820473e+002	(-6.69997017090024e+001dB,1.20175219283554e+002°)
1.77768536233315e+002	(-6.69617837303554e+001dB,1.20260891489129e+002°)
1.78385703884020e+002	(-6.69238255333760e+001dB,1.20346703989091e+002°)
1.79005014185596e+002	(-6.68858269840127e+001dB,1.20432656200602e+002°)
1.79626474576788e+002	(-6.68477879485150e+001dB,1.20518747534465e+002°)
1.80250092522167e+002	(-6.68097082934421e+001dB,1.20604977395129e+002°)
1.80875875512219e+002	(-6.67715878856712e+001dB,1.20691345180685e+002°)
1.81503831063433e+002	(-6.67334265924060e+001dB,1.20777850282864e+002°)
1.82133966718397e+002	(-6.66952242811850e+001dB,1.20864492087043e+002°)
1.82766290045881e+002	(-6.66569808198905e+001dB,1.20951269972237e+002°)
1.83400808640935e+002	(-6.66186960767565e+001dB,1.21038183311107e+002°)
1.84037530124976e+002	(-6.65803699203780e+001dB,1.21125231469959e+002°)
1.84676462145880e+002	(-6.65420022197188e+001dB,1.21212413808745e+002°)
1.85317612378075e+002	(-6.65035928441208e+001dB,1.21299729681069e+002°)
1.85960988522634e+002	(-6.64651416633124e+001dB,1.21387178434188e+002°)
1.86606598307363e+002	(-6.64266485474167e+001dB,1.21474759409017e+002°)
1.87254449486900e+002	(-6.63881133669612e+001dB,1.21562471940133e+002°)
1.87904549842804e+002	(-6.63495359928854e+001dB,1.21650315355780e+002°)
1.88556907183649e+002	(-6.63109162965502e+001dB,1.21738288977877e+002°)
1.89211529345120e+002	(-6.62722541497465e+001dB,1.21826392122022e+002°)
1.89868424190105e+002	(-6.62335494247036e+001dB,1.21914624097499e+002°)
1.90527599608789e+002	(-6.61948019940985e+001dB,1.22002984207287e+002°)
1.91189063518750e+002	(-6.61560117310643e+001dB,1.22091471748066e+002°)
1.91852823865054e+002	(-6.61171785091989e+001dB,1.22180086010231e+002°)
1.92518888620352e+002	(-6.60783022025743e+001dB,1.22268826277895e+002°)
1.93187265784970e+002	(-6.60393826857449e+001dB,1.22357691828903e+002°)
1.93857963387014e+002	(-6.60004198337564e+001dB,1.22446681934839e+002°)
1.94530989482458e+002	(-6.59614135221548e+001dB,1.22535795861045e+002°)
1.95206352155246e+002	(-6.59223636269951e+001dB,1.22625032866623e+002°)
1.95884059517387e+002	(-6.58832700248501e+001dB,1.22714392204456e+002°)
1.96564119709052e+002	(-6.58441325928194e+001dB,1.22803873121215e+002°)
1.97246540898673e+002	(-6.58049512085380e+001dB,1.22893474857377e+002°)
1.97931331283043e+002	(-6.57657257501853e+001dB,1.22983196647239e+002°)
1.98618499087409e+002	(-6.57264560964939e+001dB,1.23073037718929e+002°)
1.99308052565575e+002	(-6.56871421267584e+001dB,1.23162997294428e+002°)
2.00000000000001e+002	(-6.56477837208442e+001dB,1.23253074589583e+002°)
2.00694349701902e+002	(-6.56083807591966e+001dB,1.23343268814123e+002°)
2.01391110011345e+002	(-6.55689331228492e+001dB,1.23433579171678e+002°)
2.02090289297354e+002	(-6.55294406934331e+001dB,1.23524004859801e+002°)
2.02791895958007e+002	(-6.54899033531853e+001dB,1.23614545069979e+002°)
2.03495938420539e+002	(-6.54503209849580e+001dB,1.23705198987660e+002°)
2.04202425141440e+002	(-6.54106934722270e+001dB,1.23795965792270e+002°)
2.04911364606562e+002	(-6.53710206991009e+001dB,1.23886844657235e+002°)
2.05622765331215e+002	(-6.53313025503291e+001dB,1.23977834750001e+002°)
2.06336635860273e+002	(-6.52915389113116e+001dB,1.24068935232059e+002°)
2.07052984768277e+002	(-6.52517296681069e+001dB,1.24160145258966e+002°)
2.07771820659534e+002	(-6.52118747074410e+001dB,1.24251463980369e+002°)
2.08493152168226e+002	(-6.51719739167163e+001dB,1.24342890540029e+002°)
2.09216987958508e+002	(-6.51320271840202e+001dB,1.24434424075847e+002°)
2.09943336724615e+002	(-6.50920343981334e+001dB,1.24526063719890e+002°)
2.10672207190969e+002	(-6.50519954485391e+001dB,1.24617808598414e+002°)
2.11403608112278e+002	(-6.50119102254315e+001dB,1.24709657831895e+002°)
2.12137548273645e+002	(-6.49717786197238e+001dB,1.24801610535054e+002°)
2.12874036490674e+002	(-6.49316005230577e+001dB,1.24893665816887e+002°)
2.13613081609572e+002	(-6.48913758278115e+001dB,1.24985822780692e+002°)
2.14354692507260e+002	(-6.48511044271085e+001dB,1.25078080524101e+002°)
2.15098878091477e+002	(-6.48107862148255e+001dB,1.25170438139107e+002°)
2.15845647300887e+002	(-6.47704210856017e+001dB,1.25262894712097e+002°)
2.16595009105187e+002	(-6.47300089348467e+001dB,1.25355449323886e+002°)
2.17346972505213e+002	(-6.46895496587489e+001dB,1.25448101049744e+002°)
2.18101546533053e+002	(-6.46490431542843e+001dB,1.25540848959431e+002°)
2.18858740252150e+002	(-6.46084893192241e+001dB,1.25633692117234e+002°)
2.19618562757412e+002	(-6.45678880521438e+001dB,1.25726629581995e+002°)
2.20381023175324e+002	(-6.45272392524307e+001dB,1.25819660407151e+002°)
2.21146130664056e+002	(-6.44865428202929e+001dB,1.25912783640768e+002°)
2.21913894413571e+002	(-6.44457986567665e+001dB,1.26005998325574e+002°)
2.22684323645739e+002	(-6.44050066637247e+001dB,1.26099303499002e+002°)
2.23457427614446e+002	(-6.43641667438853e+001dB,1.26192698193221e+002°)
2.24233215605704e+002	(-6.43232788008187e+001dB,1.26286181435179e+002°)
2.25011696937764e+002	(-6.42823427389564e+001dB,1.26379752246640e+002°)
2.25792880961228e+002	(-6.42413584635982e+001dB,1.26473409644221e+002°)
2.26576777059162e+002	(-6.42003258809209e+001dB,1.26567152639437e+002°)
2.27363394647205e+002	(-6.41592448979855e+001dB,1.26660980238737e+002°)
2.28152743173687e+002	(-6.41181154227452e+001dB,1.26754891443547e+002°)
2.28944832119739e+002	(-6.40769373640533e+001dB,1.26848885250314e+002°)
2.29739670999409e+002	(-6.40357106316706e+001dB,1.26942960650545e+002°)
2.30537269359775e+002	(-6.39944351362731e+001dB,1.27037116630852e+002°)
2.31337636781060e+002	(-6.39531107894599e+001dB,1.27131352172996e+002°)
2.32140782876746e+002	(-6.39117375037600e+001dB,1.27225666253930e+002°)
2.32946717293693e+002	(-6.38703151926406e+001dB,1.27320057845845e+002°)
2.33755449712251e+002	(-6.38288437705136e+001dB,1.27414525916218e+002°)
2.34566989846378e+002	(-6.37873231527437e+001dB,1.27509069427852e+002°)
2.35381347443756e+002	(-6.37457532556551e+001dB,1.27603687338929e+002°)
2.36198532285908e+002	(-6.37041339965391e+001dB,1.27698378603054e+002°)
2.37018554188319e+002	(-6.36624652936608e+001dB,1.27793142169304e+002°)
2.37841423000546e+002	(-6.36207470662665e+001dB,1.27887976982278e+002°)
2.38667148606347e+002	(-6.35789792345906e+001dB,1.27982881982144e+002°)
2.39495740923788e+002	(-6.35371617198622e+001dB,1.28077856104687e+002°)
2.40327209905372e+002	(-6.34952944443126e+001dB,1.28172898281365e+002°)
2.41161565538154e+002	(-6.34533773311813e+001dB,1.28268007439355e+002°)
2.41998817843861e+002	(-6.34114103047233e+001dB,1.28363182501607e+002°)
2.42838976879012e+002	(-6.33693932902153e+001dB,1.28458422386895e+002°)
2.43682052735041e+002	(-6.33273262139627e+001dB,1.28553726009869e+002°)
2.44528055538416e+002	(-6.32852090033053e+001dB,1.28649092281109e+002°)
2.45376995450763e+002	(-6.32430415866247e+001dB,1.28744520107179e+002°)
2.46228882668986e+002	(-6.32008238933495e+001dB,1.28840008390679e+002°)
2.47083727425388e+002	(-6.31585558539625e+001dB,1.28935556030303e+002°)
2.47941539987800e+002	(-6.31162374000063e+001dB,1.29031161920892e+002°)
2.48802330659696e+002	(-6.30738684640891e+001dB,1.29126824953490e+002°)
2.49666109780325e+002	(-6.30314489798916e+001dB,1.29222544015400e+002°)
2.50532887724828e+002	(-6.29889788821717e+001dB,1.29318317990241e+002°)
2.51402674904368e+002	(-6.29464581067713e+001dB,1.29414145758007e+002°)
2.52275481766252e+002	(-6.29038865906213e+001dB,1.29510026195121e+002°)
2.53151318794058e+002	(-6.28612642717478e+001dB,1.29605958174498e+002°)
2.54030196507760e+002	(-6.28185910892768e+001dB,1.29701940565598e+002°)
2.54912125463855e+002	(-6.27758669834407e+001dB,1.29797972234490e+002°)
2.55797116255488e+002	(-6.27330918955825e+001dB,1.29894052043910e+002°)
2.56685179512583e+002	(-6.26902657681621e+001dB,1.29990178853319e+002°)
2.57576325901968e+002	(-6.26473885447606e+001dB,1.30086351518967e+002°)
2.58470566127501e+002	(-6.26044601700859e+001dB,1.30182568893952e+002°)
2.59367910930205e+002	(-6.25614805899772e+001dB,1.30278829828281e+002°)
2.60268371088389e+002	(-6.25184497514103e+001dB,1.30375133168933e+002°)
2.61171957417786e+002	(-6.24753676025020e+001dB,1.30471477759921e+002°)
2.62078680771675e+002	(-6.24322340925150e+001dB,1.30567862442353e+002°)
2.62988552041017e+002	(-6.23890491718623e+001dB,1.30664286054496e+002°)
2.63901582154582e+002	(-6.23458127921117e+001dB,1.30760747431843e+002°)
2.64817782079082e+002	(-6.23025249059901e+001dB,1.30857245407168e+002°)
2.65737162819305e+002	(-6.22591854673878e+001dB,1.30953778810601e+002°)
2.66659735418243e+002	(-6.22157944313625e+001dB,1.31050346469683e+002°)
2.67585510957225e+002	(-6.21723517541436e+001dB,1.31146947209437e+002°)
2.68514500556056e+002	(-6.21288573931360e+001dB,1.31243579852430e+002°)
2.69446715373141e+002	(-6.20853113069237e+001dB,1.31340243218842e+002°)
2.70382166605628e+002	(-6.20417134552738e+001dB,1.31436936126527e+002°)
2.71320865489537e+002	(-6.19980637991400e+001dB,1.31533657391083e+002°)
2.72262823299898e+002	(-6.19543623006661e+001dB,1.31630405825916e+002°)
2.73208051350882e+002	(-6.19106089231894e+001dB,1.31727180242311e+002°)
2.74156560995944e+002	(-6.18668036312439e+001dB,1.31823979449493e+002°)
2.75108363627952e+002	(-6.18229463905634e+001dB,1.31920802254699e+002°)
2.76063470679329e+002	(-6.17790371680848e+001dB,1.32017647463244e+002°)
2.77021893622188e+002	(-6.17350759319508e+001dB,1.32114513878590e+002°)
2.77983643968470e+002	(-6.16910626515129e+001dB,1.32211400302413e+002°)
2.78948733270084e+002	(-6.16469972973339e+001dB,1.32308305534670e+002°)
2.79917173119042e+002	(-6.16028798411907e+001dB,1.32405228373671e+002°)
2.80888975147603e+002	(-6.15587102560767e+001dB,1.32502167616147e+002°)
2.81864151028407e+002	(-6.15144885162039e+001dB,1.32599122057316e+002°)
2.82842712474622e+002	(-6.14702145970058e+001dB,1.32696090490958e+002°)
2.83824671240080e+002	(-6.14258884751388e+001dB,1.32793071709478e+002°)
2.84810039119418e+002	(-6.13815101284846e+001dB,1.32890064503979e+002°)
2.85798827948222e+002	(-6.13370795361521e+001dB,1.32987067664334e+002°)
2.86791049603169e+002	(-6.12925966784792e+001dB,1.33084079979253e+002°)
2.87786716002167e+002	(-6.12480615370340e+001dB,1.33181100236351e+002°)
2.88785839104502e+002	(-6.12034740946172e+001dB,1.33278127222225e+002°)
2.89788430910979e+002	(-6.11588343352627e+001dB,1.33375159722519e+002°)
2.90794503464065e+002	(-6.11141422442393e+001dB,1.33472196521995e+002°)
2.91804068848038e+002	(-6.10693978080519e+001dB,1.33569236404606e+002°)
2.92817139189128e+002	(-6.10246010144424e+001dB,1.33666278153567e+002°)
2.93833726655665e+002	(-6.09797518523907e+001dB,1.33763320551422e+002°)
2.94853843458224e+002	(-6.09348503121156e+001dB,1.33860362380118e+002°)
2.95877501849771e+002	(-6.08898963850756e+001dB,1.33957402421078e+002°)
2.96904714125813e+002	(-6.08448900639690e+001dB,1.34054439455265e+002°)
2.97935492624544e+002	(-6.07998313427350e+001dB,1.34151472263263e+002°)
2.98969849726991e+002	(-6.07547202165536e+001dB,1.34248499625339e+002°)
3.00007797857167e+002	(-6.07095566818460e+001dB,1.34345520321519e+002°)
3.01049349482217e+002	(-6.06643407362746e+001dB,1.34442533131660e+002°)
3.02094517112569e+002	(-6.06190723787431e+001dB,1.34539536835518e+002°)
3.03143313302083e+002	(-6.05737516093962e+001dB,1.34636530212821e+002°)
3.04195750648205e+002	(-6.05283784296196e+001dB,1.34733512043341e+002°)
3.05251841792115e+002	(-6.04829528420394e+001dB,1.34830481106963e+002°)
3.06311599418880e+002	(-6.04374748505214e+001dB,1.34927436183758e+002°)
3.07375036257606e+002	(-6.03919444601711e+001dB,1.35024376054055e+002°)
3.08442165081592e+002	(-6.03463616773323e+001dB,1.35121299498509e+002°)
3.09512998708482e+002	(-6.03007265095866e+001dB,1.35218205298173e+002°)
3.10587550000420e+002	(-6.02550389657522e+001dB,1.35315092234572e+002°)
3.11665831864204e+002	(-6.02092990558832e+001dB,1.35411959089769e+002°)
3.12747857251441e+002	(-6.01635067912677e+001dB,1.35508804646440e+002°)
3.13833639158704e+002	(-6.01176621844271e+001dB,1.35605627687943e+002°)
3.14923190627685e+002	(-6.00717652491142e+001dB,1.35702426998387e+002°)
3.16016524745355e+002	(-6.00258160003120e+001dB,1.35799201362704e+002°)
3.17113654644118e+002	(-5.99798144542315e+001dB,1.35895949566720e+002°)
3.18214593501971e+002	(-5.99337606283102e+001dB,1.35992670397225e+002°)
3.19319354542664e+002	(-5.98876545412104e+001dB,1.36089362642038e+002°)
3.20427951035853e+002	(-5.98414962128164e+001dB,1.36186025090087e+002°)
3.21540396297264e+002	(-5.97952856642331e+001dB,1.36282656531468e+002°)
3.22656703688854e+002	(-5.97490229177833e+001dB,1.36379255757520e+002°)
3.23776886618967e+002	(-5.97027079970052e+001dB,1.36475821560895e+002°)
3.24900958542498e+002	(-5.96563409266502e+001dB,1.36572352735622e+002°)
3.26028932961054e+002	(-5.96099217326800e+001dB,1.36668848077184e+002°)
3.27160823423117e+002	(-5.95634504422640e+001dB,1.36765306382576e+002°)
3.28296643524203e+002	(-5.95169270837763e+001dB,1.36861726450382e+002°)
3.29436406907033e+002	(-5.94703516867928e+001dB,1.36958107080842e+002°)
3.30580127261689e+002	(-5.94237242820880e+001dB,1.37054447075913e+002°)
3.31727818325781e+002	(-5.93770449016320e+001dB,1.37150745239346e+002°)
3.32879493884614e+002	(-5.93303135785869e+001dB,1.37247000376746e+002°)
3.34035167771352e+002	(-5.92835303473034e+001dB,1.37343211295643e+002°)
3.35194853867184e+002	(-5.92366952433176e+001dB,1.37439376805557e+002°)
3.36358566101490e+002	(-5.91898083033468e+001dB,1.37535495718065e+002°)
3.37526318452012e+002	(-5.91428695652862e+001dB,1.37631566846869e+002°)
3.38698124945015e+002	(-5.90958790682048e+001dB,1.37727589007856e+002°)
3.39873999655465e+002	(-5.90488368523414e+001dB,1.37823561019170e+002°)
3.41053956707187e+002	(-5.90017429591005e+001dB,1.37919481701273e+002°)
3.42238010273045e+002	(-5.89545974310482e+001dB,1.38015349877013e+002°)
3.43426174575106e+002	(-5.89074003119080e+001dB,1.38111164371684e+002°)
3.44618463884811e+002	(-5.88601516465560e+001dB,1.38206924013094e+002°)
